#           k/h    P           
    0.10000E-03    0.45256E+03
    0.10202E-03    0.46093E+03
    0.10408E-03    0.46947E+03
    0.10618E-03    0.47819E+03
    0.10833E-03    0.48709E+03
    0.11052E-03    0.49618E+03
    0.11275E-03    0.50546E+03
    0.11503E-03    0.51494E+03
    0.11735E-03    0.52461E+03
    0.11972E-03    0.53448E+03
    0.12214E-03    0.54455E+03
    0.12461E-03    0.55483E+03
    0.12712E-03    0.56532E+03
    0.12969E-03    0.57603E+03
    0.13231E-03    0.58695E+03
    0.13499E-03    0.59809E+03
    0.13771E-03    0.60945E+03
    0.14049E-03    0.62104E+03
    0.14333E-03    0.63285E+03
    0.14623E-03    0.64491E+03
    0.14918E-03    0.65719E+03
    0.15220E-03    0.66972E+03
    0.15527E-03    0.68250E+03
    0.15841E-03    0.69553E+03
    0.16161E-03    0.70881E+03
    0.16487E-03    0.72235E+03
    0.16820E-03    0.73617E+03
    0.17160E-03    0.75025E+03
    0.17507E-03    0.76461E+03
    0.17860E-03    0.77925E+03
    0.18221E-03    0.79418E+03
    0.18589E-03    0.80940E+03
    0.18965E-03    0.82492E+03
    0.19348E-03    0.84075E+03
    0.19739E-03    0.85689E+03
    0.20138E-03    0.87334E+03
    0.20544E-03    0.89012E+03
    0.20959E-03    0.90723E+03
    0.21383E-03    0.92467E+03
    0.21815E-03    0.94246E+03
    0.22255E-03    0.96059E+03
    0.22705E-03    0.97908E+03
    0.23164E-03    0.99793E+03
    0.23632E-03    0.10172E+04
    0.24109E-03    0.10367E+04
    0.24596E-03    0.10567E+04
    0.25093E-03    0.10771E+04
    0.25600E-03    0.10979E+04
    0.26117E-03    0.11190E+04
    0.26645E-03    0.11406E+04
    0.27183E-03    0.11626E+04
    0.27732E-03    0.11850E+04
    0.28292E-03    0.12079E+04
    0.28864E-03    0.12312E+04
    0.29447E-03    0.12549E+04
    0.30042E-03    0.12791E+04
    0.30649E-03    0.13038E+04
    0.31268E-03    0.13290E+04
    0.31899E-03    0.13546E+04
    0.32544E-03    0.13808E+04
    0.33201E-03    0.14074E+04
    0.33872E-03    0.14346E+04
    0.34556E-03    0.14622E+04
    0.35254E-03    0.14904E+04
    0.35966E-03    0.15192E+04
    0.36693E-03    0.15485E+04
    0.37434E-03    0.15784E+04
    0.38190E-03    0.16088E+04
    0.38962E-03    0.16398E+04
    0.39749E-03    0.16714E+04
    0.40552E-03    0.17037E+04
    0.41371E-03    0.17365E+04
    0.42207E-03    0.17700E+04
    0.43060E-03    0.18041E+04
    0.43929E-03    0.18388E+04
    0.44817E-03    0.18743E+04
    0.45722E-03    0.19103E+04
    0.46646E-03    0.19471E+04
    0.47588E-03    0.19846E+04
    0.48550E-03    0.20228E+04
    0.49530E-03    0.20617E+04
    0.50531E-03    0.21013E+04
    0.51552E-03    0.21417E+04
    0.52593E-03    0.21829E+04
    0.53656E-03    0.22248E+04
    0.54739E-03    0.22675E+04
    0.55845E-03    0.23111E+04
    0.56973E-03    0.23554E+04
    0.58124E-03    0.24006E+04
    0.59299E-03    0.24466E+04
    0.60496E-03    0.24935E+04
    0.61719E-03    0.25412E+04
    0.62965E-03    0.25899E+04
    0.64237E-03    0.26394E+04
    0.65535E-03    0.26899E+04
    0.66859E-03    0.27413E+04
    0.68210E-03    0.27937E+04
    0.69588E-03    0.28470E+04
    0.70993E-03    0.29013E+04
    0.72427E-03    0.29566E+04
    0.73891E-03    0.30130E+04
    0.75383E-03    0.30703E+04
    0.76906E-03    0.31287E+04
    0.78460E-03    0.31882E+04
    0.80045E-03    0.32488E+04
    0.81662E-03    0.33105E+04
    0.83311E-03    0.33733E+04
    0.84994E-03    0.34372E+04
    0.86711E-03    0.35023E+04
    0.88463E-03    0.35686E+04
    0.90250E-03    0.36361E+04
    0.92073E-03    0.37047E+04
    0.93933E-03    0.37746E+04
    0.95831E-03    0.38458E+04
    0.97767E-03    0.39182E+04
    0.99742E-03    0.39919E+04
    0.10176E-02    0.40669E+04
    0.10381E-02    0.41433E+04
    0.10591E-02    0.42209E+04
    0.10805E-02    0.43000E+04
    0.11023E-02    0.43804E+04
    0.11246E-02    0.44623E+04
    0.11473E-02    0.45455E+04
    0.11705E-02    0.46302E+04
    0.11941E-02    0.47164E+04
    0.12182E-02    0.48040E+04
    0.12429E-02    0.48932E+04
    0.12680E-02    0.49838E+04
    0.12936E-02    0.50760E+04
    0.13197E-02    0.51698E+04
    0.13464E-02    0.52651E+04
    0.13736E-02    0.53621E+04
    0.14013E-02    0.54606E+04
    0.14296E-02    0.55608E+04
    0.14585E-02    0.56626E+04
    0.14880E-02    0.57662E+04
    0.15180E-02    0.58714E+04
    0.15487E-02    0.59783E+04
    0.15800E-02    0.60870E+04
    0.16119E-02    0.61974E+04
    0.16445E-02    0.63095E+04
    0.16777E-02    0.64235E+04
    0.17116E-02    0.65393E+04
    0.17462E-02    0.66568E+04
    0.17814E-02    0.67762E+04
    0.18174E-02    0.68975E+04
    0.18541E-02    0.70206E+04
    0.18916E-02    0.71456E+04
    0.19298E-02    0.72725E+04
    0.19688E-02    0.74012E+04
    0.20086E-02    0.75319E+04
    0.20491E-02    0.76646E+04
    0.20905E-02    0.77992E+04
    0.21328E-02    0.79357E+04
    0.21758E-02    0.80742E+04
    0.22198E-02    0.82147E+04
    0.22646E-02    0.83572E+04
    0.23104E-02    0.85017E+04
    0.23571E-02    0.86482E+04
    0.24047E-02    0.87967E+04
    0.24533E-02    0.89472E+04
    0.25028E-02    0.90997E+04
    0.25534E-02    0.92542E+04
    0.26050E-02    0.94108E+04
    0.26576E-02    0.95694E+04
    0.27113E-02    0.97300E+04
    0.27660E-02    0.98927E+04
    0.28219E-02    0.10057E+05
    0.28789E-02    0.10224E+05
    0.29371E-02    0.10393E+05
    0.29964E-02    0.10563E+05
    0.30569E-02    0.10736E+05
    0.31187E-02    0.10911E+05
    0.31817E-02    0.11088E+05
    0.32460E-02    0.11266E+05
    0.33115E-02    0.11447E+05
    0.33784E-02    0.11629E+05
    0.34467E-02    0.11814E+05
    0.35163E-02    0.12000E+05
    0.35874E-02    0.12189E+05
    0.36598E-02    0.12379E+05
    0.37338E-02    0.12571E+05
    0.38092E-02    0.12764E+05
    0.38861E-02    0.12960E+05
    0.39646E-02    0.13157E+05
    0.40447E-02    0.13356E+05
    0.41264E-02    0.13556E+05
    0.42098E-02    0.13759E+05
    0.42948E-02    0.13962E+05
    0.43816E-02    0.14168E+05
    0.44701E-02    0.14374E+05
    0.45604E-02    0.14583E+05
    0.46525E-02    0.14792E+05
    0.47465E-02    0.15003E+05
    0.48424E-02    0.15215E+05
    0.49402E-02    0.15429E+05
    0.50400E-02    0.15643E+05
    0.51419E-02    0.15859E+05
    0.52457E-02    0.16075E+05
    0.53517E-02    0.16293E+05
    0.54598E-02    0.16511E+05
    0.55701E-02    0.16730E+05
    0.56826E-02    0.16950E+05
    0.57974E-02    0.17170E+05
    0.59145E-02    0.17391E+05
    0.60340E-02    0.17612E+05
    0.61559E-02    0.17834E+05
    0.62803E-02    0.18055E+05
    0.64072E-02    0.18277E+05
    0.65366E-02    0.18498E+05
    0.66686E-02    0.18719E+05
    0.68033E-02    0.18940E+05
    0.69408E-02    0.19161E+05
    0.70810E-02    0.19380E+05
    0.72240E-02    0.19599E+05
    0.73700E-02    0.19818E+05
    0.75189E-02    0.20034E+05
    0.76708E-02    0.20250E+05
    0.78257E-02    0.20464E+05
    0.79838E-02    0.20677E+05
    0.81451E-02    0.20889E+05
    0.83096E-02    0.21098E+05
    0.84775E-02    0.21305E+05
    0.86488E-02    0.21511E+05
    0.88235E-02    0.21713E+05
    0.90017E-02    0.21913E+05
    0.91836E-02    0.22111E+05
    0.93691E-02    0.22305E+05
    0.95583E-02    0.22496E+05
    0.97514E-02    0.22684E+05
    0.99484E-02    0.22868E+05
    0.10149E-01    0.23048E+05
    0.10354E-01    0.23224E+05
    0.10564E-01    0.23396E+05
    0.10777E-01    0.23563E+05
    0.10995E-01    0.23725E+05
    0.11217E-01    0.23882E+05
    0.11443E-01    0.24034E+05
    0.11675E-01    0.24180E+05
    0.11910E-01    0.24320E+05
    0.12151E-01    0.24455E+05
    0.12397E-01    0.24582E+05
    0.12647E-01    0.24703E+05
    0.12902E-01    0.24818E+05
    0.13163E-01    0.24925E+05
    0.13429E-01    0.25024E+05
    0.13700E-01    0.25116E+05
    0.13977E-01    0.25200E+05
    0.14259E-01    0.25275E+05
    0.14547E-01    0.25342E+05
    0.14841E-01    0.25400E+05
    0.15141E-01    0.25448E+05
    0.15447E-01    0.25488E+05
    0.15759E-01    0.25518E+05
    0.16077E-01    0.25537E+05
    0.16402E-01    0.25547E+05
    0.16734E-01    0.25546E+05
    0.17072E-01    0.25535E+05
    0.17416E-01    0.25513E+05
    0.17768E-01    0.25480E+05
    0.18127E-01    0.25435E+05
    0.18493E-01    0.25379E+05
    0.18867E-01    0.25312E+05
    0.19248E-01    0.25233E+05
    0.19637E-01    0.25142E+05
    0.20034E-01    0.25039E+05
    0.20438E-01    0.24924E+05
    0.20851E-01    0.24796E+05
    0.21272E-01    0.24657E+05
    0.21702E-01    0.24506E+05
    0.22141E-01    0.24343E+05
    0.22588E-01    0.24167E+05
    0.23044E-01    0.23980E+05
    0.23510E-01    0.23781E+05
    0.23985E-01    0.23571E+05
    0.24469E-01    0.23349E+05
    0.24964E-01    0.23116E+05
    0.25468E-01    0.22873E+05
    0.25982E-01    0.22619E+05
    0.26507E-01    0.22355E+05
    0.27043E-01    0.22082E+05
    0.27589E-01    0.21800E+05
    0.28146E-01    0.21509E+05
    0.28715E-01    0.21210E+05
    0.29295E-01    0.20904E+05
    0.29887E-01    0.20591E+05
    0.30490E-01    0.20273E+05
    0.31106E-01    0.19949E+05
    0.31735E-01    0.19621E+05
    0.32376E-01    0.19290E+05
    0.33030E-01    0.18955E+05
    0.33697E-01    0.18620E+05
    0.34378E-01    0.18283E+05
    0.35072E-01    0.17946E+05
    0.35781E-01    0.17611E+05
    0.36504E-01    0.17278E+05
    0.37241E-01    0.16946E+05
    0.37993E-01    0.16616E+05
    0.38761E-01    0.16289E+05
    0.39544E-01    0.15967E+05
    0.40343E-01    0.15651E+05
    0.41158E-01    0.15343E+05
    0.41989E-01    0.15044E+05
    0.42838E-01    0.14753E+05
    0.43703E-01    0.14472E+05
    0.44586E-01    0.14201E+05
    0.45486E-01    0.13940E+05
    0.46405E-01    0.13691E+05
    0.47343E-01    0.13452E+05
    0.48299E-01    0.13223E+05
    0.49275E-01    0.13004E+05
    0.50270E-01    0.12796E+05
    0.51286E-01    0.12596E+05
    0.52322E-01    0.12405E+05
    0.53379E-01    0.12221E+05
    0.54457E-01    0.12044E+05
    0.55557E-01    0.11874E+05
    0.56680E-01    0.11708E+05
    0.57825E-01    0.11546E+05
    0.58993E-01    0.11393E+05
    0.60184E-01    0.11247E+05
    0.61400E-01    0.11102E+05
    0.62641E-01    0.10950E+05
    0.63906E-01    0.10795E+05
    0.65197E-01    0.10639E+05
    0.66514E-01    0.10479E+05
    0.67858E-01    0.10311E+05
    0.69229E-01    0.10135E+05
    0.70627E-01    0.99493E+04
    0.72054E-01    0.97526E+04
    0.73510E-01    0.95441E+04
    0.74994E-01    0.93236E+04
    0.76509E-01    0.90914E+04
    0.78055E-01    0.88483E+04
    0.79632E-01    0.85957E+04
    0.81241E-01    0.83353E+04
    0.82882E-01    0.80693E+04
    0.84556E-01    0.78000E+04
    0.86264E-01    0.75299E+04
    0.88007E-01    0.72615E+04
    0.89785E-01    0.69972E+04
    0.91598E-01    0.67393E+04
    0.93449E-01    0.64899E+04
    0.95337E-01    0.62512E+04
    0.97263E-01    0.60250E+04
    0.99227E-01    0.58132E+04
    0.10123E+00    0.56172E+04
    0.10328E+00    0.54380E+04
    0.10536E+00    0.52762E+04
    0.10749E+00    0.51315E+04
    0.10966E+00    0.50034E+04
    0.11188E+00    0.48903E+04
    0.11414E+00    0.47901E+04
    0.11644E+00    0.47002E+04
    0.11880E+00    0.46176E+04
    0.12120E+00    0.45386E+04
    0.12365E+00    0.44597E+04
    0.12614E+00    0.43772E+04
    0.12869E+00    0.42878E+04
    0.13129E+00    0.41886E+04
    0.13394E+00    0.40780E+04
    0.13665E+00    0.39557E+04
    0.13941E+00    0.38225E+04
    0.14223E+00    0.36807E+04
    0.14510E+00    0.35331E+04
    0.14803E+00    0.33829E+04
    0.15102E+00    0.32335E+04
    0.15407E+00    0.30884E+04
    0.15718E+00    0.29507E+04
    0.16036E+00    0.28238E+04
    0.16360E+00    0.27101E+04
    0.16690E+00    0.26112E+04
    0.17028E+00    0.25271E+04
    0.17371E+00    0.24561E+04
    0.17722E+00    0.23952E+04
    0.18080E+00    0.23411E+04
    0.18446E+00    0.22900E+04
    0.18818E+00    0.22385E+04
    0.19198E+00    0.21835E+04
    0.19586E+00    0.21225E+04
    0.19982E+00    0.20540E+04
    0.20386E+00    0.19781E+04
    0.20797E+00    0.18964E+04
    0.21218E+00    0.18121E+04
    0.21646E+00    0.17285E+04
    0.22083E+00    0.16490E+04
    0.22530E+00    0.15762E+04
    0.22985E+00    0.15122E+04
    0.23449E+00    0.14572E+04
    0.23923E+00    0.14106E+04
    0.24406E+00    0.13700E+04
    0.24899E+00    0.13323E+04
    0.25402E+00    0.12948E+04
    0.25915E+00    0.12549E+04
    0.26439E+00    0.12115E+04
    0.26973E+00    0.11643E+04
    0.27518E+00    0.11148E+04
    0.28074E+00    0.10650E+04
    0.28641E+00    0.10174E+04
    0.29219E+00    0.97394E+03
    0.29810E+00    0.93531E+03
    0.30412E+00    0.90149E+03
    0.31026E+00    0.87110E+03
    0.31653E+00    0.84247E+03
    0.32292E+00    0.81388E+03
    0.32945E+00    0.78402E+03
    0.33610E+00    0.75283E+03
    0.34289E+00    0.72085E+03
    0.34982E+00    0.68956E+03
    0.35689E+00    0.66025E+03
    0.36409E+00    0.63344E+03
    0.37145E+00    0.60916E+03
