#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.743273E-04   0.199074E+08   0.199074E+08   0.258373E+08   0.258363E+08   0.000000E+00   0.199074E+08   0.199074E+08   0.199149E+08  -0.472430E+00   0.104740E+08   0.104740E+08   0.416081E-01
   0.103732E-03   0.199061E+08   0.199061E+08   0.251826E+08   0.251807E+08   0.000000E+00   0.199061E+08   0.199061E+08   0.199135E+08  -0.472392E+00   0.104734E+08   0.104734E+08   0.579990E-01
   0.144770E-03   0.199036E+08   0.199036E+08   0.239506E+08   0.239472E+08   0.000000E+00   0.199036E+08   0.199036E+08   0.199106E+08  -0.472317E+00   0.104720E+08   0.104720E+08   0.807551E-01
   0.202043E-03   0.198988E+08   0.198988E+08   0.217080E+08   0.217025E+08   0.000000E+00   0.198988E+08   0.198988E+08   0.199052E+08  -0.472174E+00   0.104695E+08   0.104695E+08   0.112201E+00
   0.281973E-03   0.198896E+08   0.198896E+08   0.178840E+08   0.178770E+08   0.000000E+00   0.198896E+08   0.198896E+08   0.198948E+08  -0.471904E+00   0.104645E+08   0.104645E+08   0.155287E+00
   0.393525E-03   0.198722E+08   0.198722E+08   0.121669E+08   0.121640E+08   0.000000E+00   0.198722E+08   0.198722E+08   0.198758E+08  -0.471410E+00   0.104552E+08   0.104552E+08   0.213474E+00
   0.549209E-03   0.198402E+08   0.198402E+08   0.565999E+07   0.567686E+07   0.000000E+00   0.198402E+08   0.198402E+08   0.198419E+08  -0.470545E+00   0.104381E+08   0.104381E+08   0.290434E+00
   0.766483E-03   0.197836E+08   0.197835E+08   0.161674E+07   0.166657E+07   0.000000E+00   0.197836E+08   0.197836E+08   0.197841E+08  -0.469106E+00   0.104079E+08   0.104079E+08   0.390076E+00
   0.106971E-02   0.196879E+08   0.196877E+08   0.880623E+06   0.930306E+06   0.000000E+00   0.196878E+08   0.196878E+08   0.196881E+08  -0.466792E+00   0.103570E+08   0.103570E+08   0.518075E+00
   0.149290E-02   0.195325E+08   0.195322E+08   0.189882E+06   0.220162E+06   0.000000E+00   0.195324E+08   0.195324E+08   0.195325E+08  -0.463089E+00   0.102749E+08   0.102749E+08   0.682895E+00
   0.208352E-02   0.192886E+08   0.192881E+08  -0.109176E+06  -0.109226E+06   0.000000E+00   0.192885E+08   0.192885E+08   0.192885E+08  -0.457294E+00   0.101465E+08   0.101464E+08   0.894594E+00
   0.290778E-02   0.189180E+08   0.189170E+08  -0.549660E+05  -0.549913E+05   0.000000E+00   0.189178E+08   0.189178E+08   0.189178E+08  -0.448503E+00   0.995133E+07   0.995132E+07   0.116564E+01
   0.405814E-02   0.183741E+08   0.183723E+08  -0.274064E+05  -0.274190E+05   0.000000E+00   0.183738E+08   0.183738E+08   0.183738E+08  -0.435603E+00   0.966509E+07   0.966507E+07   0.151068E+01
   0.419569E-02   0.183082E+08   0.183062E+08  -0.255467E+05  -0.255585E+05   0.000000E+00   0.183078E+08   0.183078E+08   0.183078E+08  -0.434040E+00   0.963041E+07   0.963039E+07   0.154986E+01
   0.433790E-02   0.182399E+08   0.182379E+08  -0.238099E+05  -0.238209E+05   0.000000E+00   0.182396E+08   0.182396E+08   0.182396E+08  -0.432422E+00   0.959451E+07   0.959449E+07   0.158995E+01
   0.448493E-02   0.181693E+08   0.181672E+08  -0.221880E+05  -0.221982E+05   0.000000E+00   0.181690E+08   0.181690E+08   0.181690E+08  -0.430748E+00   0.955736E+07   0.955734E+07   0.163098E+01
   0.463695E-02   0.180963E+08   0.180940E+08  -0.206735E+05  -0.206830E+05   0.000000E+00   0.180960E+08   0.180960E+08   0.180960E+08  -0.429017E+00   0.951895E+07   0.951892E+07   0.167294E+01
   0.479412E-02   0.180209E+08   0.180184E+08  -0.192594E+05  -0.192683E+05   0.000000E+00   0.180205E+08   0.180205E+08   0.180205E+08  -0.427227E+00   0.947923E+07   0.947920E+07   0.171586E+01
   0.495662E-02   0.179428E+08   0.179402E+08  -0.179392E+05  -0.179475E+05   0.000000E+00   0.179424E+08   0.179424E+08   0.179424E+08  -0.425377E+00   0.943817E+07   0.943815E+07   0.175975E+01
   0.512462E-02   0.178622E+08   0.178594E+08  -0.167068E+05  -0.167144E+05   0.000000E+00   0.178618E+08   0.178618E+08   0.178618E+08  -0.423465E+00   0.939576E+07   0.939573E+07   0.180462E+01
   0.529832E-02   0.177790E+08   0.177760E+08  -0.155564E+05  -0.155635E+05   0.000000E+00   0.177785E+08   0.177785E+08   0.177785E+08  -0.421491E+00   0.935195E+07   0.935192E+07   0.185048E+01
   0.547791E-02   0.176931E+08   0.176899E+08  -0.144827E+05  -0.144893E+05   0.000000E+00   0.176926E+08   0.176926E+08   0.176925E+08  -0.419452E+00   0.930672E+07   0.930669E+07   0.189734E+01
   0.566358E-02   0.176044E+08   0.176010E+08  -0.134806E+05  -0.134868E+05   0.000000E+00   0.176038E+08   0.176038E+08   0.176038E+08  -0.417348E+00   0.926004E+07   0.926001E+07   0.194521E+01
   0.585555E-02   0.175128E+08   0.175092E+08  -0.125456E+05  -0.125514E+05   0.000000E+00   0.175123E+08   0.175123E+08   0.175123E+08  -0.415178E+00   0.921188E+07   0.921185E+07   0.199409E+01
   0.605403E-02   0.174185E+08   0.174146E+08  -0.116732E+05  -0.116786E+05   0.000000E+00   0.174179E+08   0.174179E+08   0.174178E+08  -0.412940E+00   0.916222E+07   0.916218E+07   0.204399E+01
   0.625923E-02   0.173212E+08   0.173171E+08  -0.108593E+05  -0.108643E+05   0.000000E+00   0.173205E+08   0.173205E+08   0.173205E+08  -0.410632E+00   0.911101E+07   0.911097E+07   0.209491E+01
   0.647139E-02   0.172209E+08   0.172165E+08  -0.101001E+05  -0.101047E+05   0.000000E+00   0.172202E+08   0.172202E+08   0.172202E+08  -0.408253E+00   0.905824E+07   0.905819E+07   0.214684E+01
   0.669073E-02   0.171175E+08   0.171129E+08  -0.939196E+04  -0.939628E+04   0.000000E+00   0.171168E+08   0.171168E+08   0.171168E+08  -0.405803E+00   0.900386E+07   0.900382E+07   0.219980E+01
   0.691752E-02   0.170111E+08   0.170062E+08  -0.873158E+04  -0.873559E+04   0.000000E+00   0.170104E+08   0.170104E+08   0.170104E+08  -0.403279E+00   0.894786E+07   0.894781E+07   0.225376E+01
   0.715199E-02   0.169016E+08   0.168963E+08  -0.811580E+04  -0.811953E+04   0.000000E+00   0.169007E+08   0.169007E+08   0.169007E+08  -0.400680E+00   0.889020E+07   0.889015E+07   0.230872E+01
   0.739440E-02   0.167888E+08   0.167832E+08  -0.754169E+04  -0.754516E+04   0.000000E+00   0.167879E+08   0.167879E+08   0.167879E+08  -0.398005E+00   0.883085E+07   0.883080E+07   0.236466E+01
   0.764504E-02   0.166728E+08   0.166668E+08  -0.700651E+04  -0.700973E+04   0.000000E+00   0.166718E+08   0.166718E+08   0.166718E+08  -0.395253E+00   0.876979E+07   0.876973E+07   0.242157E+01
   0.790417E-02   0.165534E+08   0.165471E+08  -0.650769E+04  -0.651068E+04   0.000000E+00   0.165524E+08   0.165524E+08   0.165524E+08  -0.392422E+00   0.870698E+07   0.870692E+07   0.247943E+01
   0.817208E-02   0.164307E+08   0.164240E+08  -0.604282E+04  -0.604560E+04   0.000000E+00   0.164297E+08   0.164297E+08   0.164297E+08  -0.389511E+00   0.864239E+07   0.864233E+07   0.253819E+01
   0.844907E-02   0.163046E+08   0.162974E+08  -0.560967E+04  -0.561225E+04   0.000000E+00   0.163034E+08   0.163034E+08   0.163034E+08  -0.386519E+00   0.857600E+07   0.857593E+07   0.259784E+01
   0.873546E-02   0.161749E+08   0.161674E+08  -0.520613E+04  -0.520852E+04   0.000000E+00   0.161737E+08   0.161737E+08   0.161737E+08  -0.383444E+00   0.850777E+07   0.850770E+07   0.265832E+01
   0.903155E-02   0.160417E+08   0.160337E+08  -0.483024E+04  -0.483246E+04   0.000000E+00   0.160405E+08   0.160405E+08   0.160405E+08  -0.380285E+00   0.843768E+07   0.843761E+07   0.271958E+01
   0.933767E-02   0.159050E+08   0.158964E+08  -0.448017E+04  -0.448223E+04   0.000000E+00   0.159036E+08   0.159036E+08   0.159036E+08  -0.377040E+00   0.836569E+07   0.836562E+07   0.278158E+01
   0.965417E-02   0.157646E+08   0.157555E+08  -0.415420E+04  -0.415611E+04   0.000000E+00   0.157631E+08   0.157631E+08   0.157631E+08  -0.373709E+00   0.829178E+07   0.829170E+07   0.284424E+01
   0.998140E-02   0.156204E+08   0.156108E+08  -0.385073E+04  -0.385250E+04   0.000000E+00   0.156189E+08   0.156189E+08   0.156189E+08  -0.370290E+00   0.821592E+07   0.821583E+07   0.290748E+01
   0.103197E-01   0.154725E+08   0.154623E+08  -0.356825E+04  -0.356989E+04   0.000000E+00   0.154709E+08   0.154709E+08   0.154709E+08  -0.366782E+00   0.813808E+07   0.813799E+07   0.297122E+01
   0.106695E-01   0.153208E+08   0.153100E+08  -0.330537E+04  -0.330689E+04   0.000000E+00   0.153191E+08   0.153191E+08   0.153191E+08  -0.363183E+00   0.805823E+07   0.805813E+07   0.303537E+01
   0.110312E-01   0.151652E+08   0.151538E+08  -0.306077E+04  -0.306218E+04   0.000000E+00   0.151635E+08   0.151635E+08   0.151635E+08  -0.359492E+00   0.797634E+07   0.797624E+07   0.309980E+01
   0.114051E-01   0.150058E+08   0.149936E+08  -0.283324E+04  -0.283454E+04   0.000000E+00   0.150039E+08   0.150039E+08   0.150039E+08  -0.355709E+00   0.789239E+07   0.789228E+07   0.316441E+01
   0.117916E-01   0.148423E+08   0.148295E+08  -0.262162E+04  -0.262283E+04   0.000000E+00   0.148403E+08   0.148403E+08   0.148403E+08  -0.351831E+00   0.780635E+07   0.780624E+07   0.322903E+01
   0.121913E-01   0.146748E+08   0.146613E+08  -0.242485E+04  -0.242597E+04   0.000000E+00   0.146727E+08   0.146727E+08   0.146727E+08  -0.347858E+00   0.771820E+07   0.771808E+07   0.329354E+01
   0.126045E-01   0.145033E+08   0.144889E+08  -0.224193E+04  -0.224296E+04   0.000000E+00   0.145011E+08   0.145011E+08   0.145011E+08  -0.343789E+00   0.762792E+07   0.762779E+07   0.335774E+01
   0.130318E-01   0.143277E+08   0.143125E+08  -0.207193E+04  -0.207288E+04   0.000000E+00   0.143253E+08   0.143253E+08   0.143253E+08  -0.339622E+00   0.753548E+07   0.753534E+07   0.342145E+01
   0.134735E-01   0.141480E+08   0.141319E+08  -0.191397E+04  -0.191485E+04   0.000000E+00   0.141455E+08   0.141455E+08   0.141455E+08  -0.335358E+00   0.744086E+07   0.744072E+07   0.348446E+01
   0.139302E-01   0.139641E+08   0.139471E+08  -0.176724E+04  -0.176805E+04   0.000000E+00   0.139614E+08   0.139614E+08   0.139614E+08  -0.330995E+00   0.734405E+07   0.734390E+07   0.354655E+01
   0.144023E-01   0.137760E+08   0.137581E+08  -0.163097E+04  -0.163172E+04   0.000000E+00   0.137732E+08   0.137732E+08   0.137732E+08  -0.326532E+00   0.724504E+07   0.724488E+07   0.360746E+01
   0.148905E-01   0.135837E+08   0.135648E+08  -0.150447E+04  -0.150516E+04   0.000000E+00   0.135808E+08   0.135808E+08   0.135808E+08  -0.321970E+00   0.714381E+07   0.714365E+07   0.366691E+01
   0.153952E-01   0.133872E+08   0.133673E+08  -0.138706E+04  -0.138770E+04   0.000000E+00   0.133841E+08   0.133841E+08   0.133841E+08  -0.317307E+00   0.704036E+07   0.704019E+07   0.372462E+01
   0.159170E-01   0.131865E+08   0.131655E+08  -0.127814E+04  -0.127872E+04   0.000000E+00   0.131832E+08   0.131832E+08   0.131832E+08  -0.312545E+00   0.693470E+07   0.693452E+07   0.378025E+01
   0.164565E-01   0.129816E+08   0.129595E+08  -0.117711E+04  -0.117765E+04   0.000000E+00   0.129781E+08   0.129781E+08   0.129781E+08  -0.307683E+00   0.682682E+07   0.682663E+07   0.383347E+01
